NAME                                    READY   STATUS             RESTARTS         AGE     IP           NODE             NOMINATED NODE   READINESS GATES
arroyo-7d54669d74-bnb4v                 1/1     Running            0                25h     10.1.4.81    docker-desktop   <none>           <none>
catest-embedding-596b6c48b9-bjk4b       1/1     Running            0                8h      10.1.4.164   docker-desktop   <none>           <none>
catest-gateway-96c7968c6-pv4ph          1/1     Running            0                6h48m   10.1.4.189   docker-desktop   <none>           <none>
catest-parser-6669db6fcd-mcths          0/1     CrashLoopBackOff   76 (4m47s ago)   6h7m    10.1.4.200   docker-desktop   <none>           <none>
catest-review-78cd559b9c-s2qns          1/1     Running            0                25h     10.1.4.86    docker-desktop   <none>           <none>
catest-web-base-6cbb9776d6-bfn62        1/1     Running            0                9h      10.1.4.149   docker-desktop   <none>           <none>
catest-web-rag-579c96d97d-5fq87         0/1     ImagePullBackOff   0                7h6m    10.1.4.185   docker-desktop   <none>           <none>
catest-web-rag-69f67475cb-6v7c8         0/1     ImagePullBackOff   0                9h      10.1.4.151   docker-desktop   <none>           <none>
catest-web-review-55ccbd5c59-t2ln5      0/1     ImagePullBackOff   0                7h6m    10.1.4.187   docker-desktop   <none>           <none>
catest-web-review-78c48f9d8f-jrzlg      0/1     ImagePullBackOff   0                9h      10.1.4.152   docker-desktop   <none>           <none>
catest-web-workspace-764656b758-nbh8d   0/1     ImagePullBackOff   0                9h      10.1.4.150   docker-desktop   <none>           <none>
catest-web-workspace-7f877445b8-k4x47   0/1     ImagePullBackOff   0                7h6m    10.1.4.186   docker-desktop   <none>           <none>
kafka-0                                 1/1     Running            0                32h     10.1.4.48    docker-desktop   <none>           <none>
neo4j-0                                 1/1     Running            0                8h      10.1.4.160   docker-desktop   <none>           <none>
postgres-0                              1/1     Running            0                32h     10.1.4.50    docker-desktop   <none>           <none>
qdrant-0                                1/1     Running            0                32h     10.1.4.51    docker-desktop   <none>           <none>
