NAME                                    IMAGE                                               STATUS
arroyo-7d54669d74-bnb4v                 ghcr.io/arroyosystems/arroyo:latest                 Running
catest-embedding-5794467797-x5h2r       ghcr.io/ulyssesleolee/catest-embedding:latest       Running
catest-gateway-67b85cc7cb-58sx6         ghcr.io/ulyssesleolee/catest-gateway:latest         Running
catest-ingestion-52nq6                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Failed
catest-ingestion-7h4mz                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Failed
catest-ingestion-lbr2z                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Failed
catest-ingestion-lqlgh                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Failed
catest-ingestion-nxx5z                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Failed
catest-ingestion-qkbnk                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Failed
catest-ingestion-xgsd5                  ghcr.io/ulyssesleolee/catest-ingestion:latest       Pending
catest-parser-665d8f4fc5-kkb8b          ghcr.io/ulyssesleolee/catest-parser:latest          Running
catest-review-78cd559b9c-s2qns          ghcr.io/ulyssesleolee/catest-review:latest          Running
catest-web-base-6cbb9776d6-bfn62        ghcr.io/ulyssesleolee/catest-web:latest             Running
catest-web-rag-69f67475cb-6v7c8         ghcr.io/ulyssesleolee/catest-web-rag:latest         Pending
catest-web-rag-b589cdcd8-k8xpf          ghcr.io/ulyssesleolee/catest-web-rag:latest         Pending
catest-web-review-78c48f9d8f-jrzlg      ghcr.io/ulyssesleolee/catest-web-review:latest      Pending
catest-web-review-98c4b7d85-vw9ff       ghcr.io/ulyssesleolee/catest-web-review:latest      Pending
catest-web-workspace-5c6bdb749b-lcbf7   ghcr.io/ulyssesleolee/catest-web-workspace:latest   Pending
catest-web-workspace-764656b758-nbh8d   ghcr.io/ulyssesleolee/catest-web-workspace:latest   Pending
kafka-0                                 apache/kafka:latest                                 Running
neo4j-0                                 neo4j:community                                     Running
postgres-0                              postgres:16-alpine                                  Running
qdrant-0                                qdrant/qdrant                                       Running
